Player,Tm,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,Signed Using,Guaranteed\
Joe Harris\\harrijo01,BRK,7670000,,,,,,Early Bird Rights,$7670000\
Joe Ingles\\inglejo01,UTA,11954546,10863637,14000000,,,,Bird Rights,$36818183\
Joe Johnson\\johnsjo02,DET,220000,,,,,,,$220000\
Joel Embiid\\embiijo01,PHI,27504630,29542010,31579390,33616770,,,1st Round Pick,$122242800\
John Collins\\collijo01,ATL,2686560,4137302,,,,,1st Round Pick,$6823862\
John Henson\\hensojo01,DET,9732396,,,,,,1st Round Pick,$9732396\
John Wall\\walljo01,WAS,37800000,40824000,43848000,46872000,,,Bird Rights,$122472000\
Johnathan Williams\\willijo04,WAS,106181,,,,,,,$106181\
Jon Leuer\\leuerjo01,MIL,3169348,3169348,3169347,,,,,$9508043\
Jonas Valanciunas\\valanjo01,MEM,16000000,15000000,14000000,,,,Bird Rights,$45000000\
Jonathan Isaac\\isaacjo01,ORL,5806440,7362566,,,,,1st Round Pick,$13169006\
Jonathon Simmons\\simmojo02,WAS,1000000,,,,,,,$1000000\
Jontay Porter\\portejo01,MEM,197933,1517981,,,,,Minimum Salary,$197933\
Jordan Clarkson\\clarkjo01,UTA,13437500,,,,,,Cap Space,$13437500\
Jordan McRae\\mcraejo01,DET,1645357,,,,,,Minimum Salary,$1645357\
Jordan Poole\\poolejo01,GSW,1964760,2063280,2161440,3901399,,,1st Round Pick,$4028040\
Josh Hart\\hartjo01,NOP,1934160,3491159,,,,,1st Round Pick,$5425319\
Josh Jackson\\jacksjo02,MEM,7059480,,,,,,1st Round Pick,$7059480\
Josh Magette\\magetjo01,ORL,81678,,,,,,,$81678\
Josh Okogie\\okogijo01,MIN,2530680,2651040,4087904,,,,1st Round Pick,$5181720\
Josh Richardson\\richajo01,PHI,10100000,10800000,11600000,,,,Minimum Salary,$20900000\
Josh Smith\\smithjo03,DET,5331729,,,,,,,$5331729\
Jrue Holiday\\holidjr01,NOP,26131111,26131111,27020000,,,,Bird Rights,$52262222\
Juan Hernangomez\\hernaju01,MIN,3321030,,,,,,1st Round pick,$3321030\
Juan Toscano-Anderson\\toscaju01,GSW,350189,1517981,1782621,,,,MLE,$350189\
Julius Randle\\randlju01,NYK,18000000,18900000,19800000,,,,Cap Space,$40900000\
Justin Hamilton\\hamilju01,TOR,1000000,,,,,,,$1000000\
Justin Holiday\\holidju01,IND,4767000,,,,,,Room Exception,$4767000\
Justin Jackson\\jacksju01,DAL,3280920,5029650,,,,,1st Round Pick,$8310570\
Justin James\\jamesju01,SAC,898310,1517981,1782621,,,,Minimum Salary,$2416291\
Justin Robinson\\robinju01,WAS,395866,,,,,,,$395866\
Justise Winslow\\winslju01,MEM,13000000,13000000,13000000,,,,1st Round Pick,$26000000\
Jusuf Nurkic \\nurkiju01,POR,12000000,12000000,12000000,,,,Bird Rights,$28000000\
Juwan Morgan\\morgaju01,UTA,746054,,,,,,Minimum Salary,$746054\
Karl-Anthony Towns\\townska01,MIN,27250000,29430000,31610000,33790000,35970000,,1st Round Pick,$155870000\
Kawhi Leonard\\leonaka01,LAC,32742000,34379100,36016200,,,,Cap Space,$67121100\
Keita Bates-Diop\\bateske01,DEN,1416852,1663861,,,,,MLE,$1416852\
Keldon Johnson\\johnske04,SAS,1950600,2048040,2145720,3873025,,,1st Round Pick,$3998640\
Kelly Olynyk\\olynyke01,MIA,11667885,12198243,,,,,Cap space,$11667885\
Kelly Oubre\\oubreke01,PHO,15625000,14375000,,,,,Bird Rights,$30000000\
Kemba Walker\\walkeke02,BOS,32742000,34379100,36016200,37653300,,,Sign and Trade,$103137300\
Kendrick Nunn\\nunnke01,MIA,1416852,1663861,,,,,Minimum Salary,$1416852\
Kenrich Williams\\willike04,NOP,1416852,,,,,,Minimum Salary,$1416852\
Kent Bazemore\\bazemke01,SAC,19269662,,,,,,Cap Space,$19269662\
Kentavious Caldwell-Pope\\caldwke01,LAL,8089282,8493746,,,,,Cap Space,$8089282\
Kevin Durant\\duranke01,BRK,37199000,39058950,40918900,42778850,,,Sign and Trade,$117176850\
Kevin Huerter\\huertke01,ATL,2636280,2761920,4253357,,,,1st Round Pick,$5398200\
Kevin Knox\\knoxke01,NYK,4380120,4588680,5845978,,,,1st Round Pick,$8968800\
Kevin Love\\loveke01,CLE,28900000,31300000,31300000,28900000,,,Bird Rights,$120400000\
Kevin Porter\\porteke02,CLE,1290960,2033160,2130240,3845083,,,1st Round Pick,$3324120\
Kevon Looney\\looneke01,GSW,4464286,4821429,5178572,,,,Bird Rights,$9285715\
Khem Birch\\birchkh01,ORL,3000000,3000000,,,,,Early Bird Rights,$6000000\
Khris Middleton\\middlkh01,MIL,30603448,33051724,35500000,37948276,40396552,,Bird Rights,$137103448\
Khyri Thomas\\thomakh01,DET,838464,1663861,,,,,MLE,$838464\
Klay Thompson\\thompkl01,GSW,32742000,35361360,37980720,40600080,43219440,,Bird Rights,$189903600\
Kris Dunn\\dunnkr01,CHI,5348007,,,,,,1st Round pick,$5348007\
Kristaps Porzingis\\porzikr01,DAL,27285000,29467800,31650600,33833400,36016200,,Bird Rights,$122236800\
Ky Bowman\\bowmaky01,GSW,350189,1517981,1782621,,,,MLE,$350189\
Kyle Anderson\\anderky01,MEM,9073050,9505100,9937150,,,,MLE,$28515300\
Kyle Kuzma\\kuzmaky01,LAL,1974600,3562178,,,,,1st Round Pick,$5536778\
Kyle Lowry\\lowryky01,TOR,33296296,30000000,,,,,Bird Rights,$63296296\
Kyle O'Quinn\\oquinky01,PHI,2028594,,,,,,Minimum Salary,$2028594\
Kyle Singler\\singlky01,OKC,999200,999200,999200,999200,,,,$3996800\
Kyrie Irving\\irvinky01,BRK,31742000,33329100,34916200,36503300,,,Cap space,$136490600\
KZ Okpala\\okpalkz01,MIA,898310,1517981,1782621,,,,MLE,$4198912\
LaMarcus Aldridge\\aldrila01,SAS,26000000,24000000,,,,,Cap Space,$50000000\
Lance Thomas\\thomala01,BRK,262152,,,,,,Minimum Salary,$262152\
Landry Shamet\\shamela01,LAC,1995120,2090040,3768342,,,,1st Round Pick,$4085160\
Langston Galloway\\gallola01,DET,7333333,,,,,,MLE,$7333333\
Larry Nance\\nancela02,CLE,12727273,11709091,10690909,9672727,,,1st Round pick,$44800000\
Larry Sanders\\sandela01,MIL,1865547,1865547,1865547,,,,,$5596641\
Lauri Markkanen\\markkla01,CHI,5300400,6731508,,,,,1st Round Pick,$12031908\
LeBron James\\jamesle01,LAL,37436858,39219565,41002273,,,,Cap Space,$76656423\
Lonnie Walker\\walkelo01,SAS,2760480,2892000,4447896,,,,1st Round Pick,$5652480\
Lonzo Ball\\balllo01,NOP,8719320,11003782,,,,,1st Round Pick,$19723102\
Lou Williams\\willilo02,LAC,8000000,8000000,,,,,Cap Space,$16000000\
Luc Mbah a Moute\\mbahalu01,HOU,289803,,,,,,Minimum Salary,$289803\
Luguentz Dort\\dortlu01,OKC,155647,1517981,1782621,1930681,,,Minimum Salary,$2298628\
Luka Doncic\\doncilu01,DAL,7683360,8049360,10174391,,,,1st Round Pick,$15732720\
Luka Samanic\\samanlu01,SAS,2689920,2824320,2959080,4556983,,,1st Round Pick,$5514240\
Luke Kennard\\kennalu01,DET,3827160,5273826,,,,,1st Round Pick,$9100986\
Luke Kornet\\kornelu01,CHI,2195122,2304878,,,,,Room Exception,$4500000\
Luol Deng\\denglu01,LAL,4990000,4990000,4990000,,,,,$14970000\
Malcolm Brogdon\\brogdma01,IND,20000000,20700000,21700000,22600000,,,Sign and Trade,$85000000\
Malcolm Miller\\millema01,TOR,1588231,,,,,,Minimum Salary,$1588231\
Malik Beasley\\beaslma01,MIN,2731714,,,,,,1st Round pick,$2731714\
Malik Monk\\monkma01,CHO,4028400,5345687,,,,,1st Round Pick,$9374087\
Malik Newman\\newmama01,CLE,50752,,,,,,,$50752\
Marc Gasol\\gasolma01,TOR,25595700,,,,,,Bird Rights,$25595700\
Marco Belinelli\\belinma01,SAS,5846154,,,,,,MLE,$5846154\
Marcus Morris\\morrima03,LAC,15000000,,,,,,Cap Space,$15000000\
Marcus Smart\\smartma01,BOS,12553471,13446428,14339285,,,,Bird Rights,$40339184\
Mario Hezonja\\hezonma01,POR,1737145,1882867,,,,,Minimum Salary,$3620012\
Markelle Fultz\\fultzma01,ORL,9745200,12288697,,,,,1st Round Pick,$22033897\
Marko Guduric\\gudurma01,MEM,2625000,2750000,,,,,Bi-annual Exception,$5375000\
Marques Bolden\\boldema01,CLE,50752,,,,,,,$50752\
Marvin Bagley\\baglema01,SAC,8556120,8963640,11312114,,,,1st Round Pick,$17519760\
Mason Plumlee\\plumlma01,DEN,14041096,,,,,,Cap space,$14041096\
Matisse Thybulle\\thybuma01,PHI,2582160,2711280,2840160,4379527,,,1st Round Pick,$5293440\
Matt Barnes\\barnema02,SAC,2133541,,,,,,,$2133541\
Matt Thomas\\thomama02,TOR,898310,1517981,1782621,,,,MLE,$1623310\
Matthew Dellavedova\\dellama01,CLE,9607500,,,,,,Cap Space,$9607500\
Maurice Harkless\\harklma01,NYK,11511234,,,,,,Cap Space,$11511234\
Max Strus\\strusma01,BOS,415414,,,,,,,$415414\
Maxi Kleber\\klebima01,DAL,8000000,8250000,8750000,9000000,,,Early Bird Rights,$25000000\
Melvin Frazier\\frazime01,ORL,1416852,1663861,,,,,MLE,$1416852\
Meyers Leonard\\leoname01,MIA,11286515,,,,,,Cap Space,$11286515\
Mfiondu Kabengele\\kabenmf01,LAC,1977000,2075880,2174880,3923484,,,1st Round Pick,$4052880\
Michael Carter-Williams\\cartemi01,ORL,2028594,,,,,,Minimum Salary,$2028594\
Michael Porter\\portemi01,DEN,3389400,3550800,5258735,,,,1st Round Pick,$6940200\
Mikal Bridges\\bridgmi01,PHO,4161000,4359000,5557725,,,,1st Round Pick,$8520000\
Mike Conley\\conlemi01,UTA,32511623,34504132,,,,,Cap Space,$54938006\
Mike Muscala\\muscami01,OKC,2028594,2283034,,,,,Minimum Salary,$2028594\
Mike Scott\\scottmi01,PHI,4767000,5005350,,,,,Room Exception,$9772350\
Miles Bridges\\bridgmi02,CHO,3755400,3934320,5421493,,,,1st Round Pick,$7689720\
Miles Plumlee\\plumlmi01,MEM,12500000,,,,,,,$12500000\
Mirza Teletovic\\teletmi01,MIL,3500000,3500000,,,,,,$7000000\
Mitchell Robinson\\robinmi01,NYK,1559712,1663861,1802057,,,,MLE,$1559712\
Miye Oni\\onimi01,UTA,898310,1517981,1782621,,,,Minimum Salary,$898310\
Mohamed Bamba\\bambamo01,ORL,5697600,5969040,7568742,,,,1st Round Pick,$11666640\
Monta Ellis\\ellismo01,IND,2245400,2245400,2245400,,,,,$6736200\
Monte Morris\\morrimo01,DEN,1588231,1663861,,,,,Minimum Salary,$1588231\
Montrezl Harrell\\harremo01,LAC,6000000,,,,,,Bird Rights,$6000000\
Moritz Wagner\\wagnemo01,WAS,2063520,2161920,3893618,,,,1st Round Pick,$4225440\
Myles Turner\\turnemy01,IND,18000000,18000000,18000000,18000000,,,1st Round pick,$72000000\
Nassir Little\\littlna01,POR,2105520,2210640,2316240,4171548,,,1st Round Pick,$4316160\
Naz Reid\\reidna01,MIN,898310,1517981,1782621,1930681,,,MLE,$898310\
Nemanja Bjelica\\bjeline01,SAC,6825000,7150000,,,,,Cap Space,$6825000\
Nene Hilario\\hilarne01,ATL,2564753,,,,,,,$2564753\
Nerlens Noel\\noelne01,OKC,2028594,,,,,,Minimum Salary,$2028594\
Nickeil Alexander-Walker\\alexani01,NOP,2964840,3113160,3261480,5009633,,,1st Round Pick,$6078000\
Nicolas Batum\\batumni01,CHO,25565217,27130434,,,,,Cap Space,$25565217\
Nicolas Claxton\\claxtni01,BRK,898310,1517981,1782621,,,,Minimum Salary,$4198912\
Nicolo Melli\\mellini01,NOP,3902439,4097561,,,,,Room Exception,$8000000\
Nigel Williams-Goss\\willini01,UTA,1500000,1517981,1782621,,,,Cap Space,$1500000\
Nikola Jokic\\jokicni01,DEN,26573595,28542009,30510423,32478837,,,Bird Rights,$118104864\
Nikola Vucevic\\vucevni01,ORL,28000000,26000000,24000000,22000000,,,Bird Rights,$100000000\
Noah Vonleh\\vonleno01,DEN,2000000,,,,,,MLE,$2000000\
Norman Powell\\powelno01,TOR,10116576,10865952,11615328,,,,Cap Space,$20982528\
Norvel Pelle\\pelleno01,PHI,350189,,,,,,Minimum Salary,$350189\
OG Anunoby\\anunoog01,TOR,2281800,3872215,,,,,1st Round Pick,$6154015\
Omari Spellman\\spellom01,MIN,1897800,1988280,3588845,,,,1st Round Pick,$3886080\
Omer Asik\\asikom01,CHI,3000000,,,,,,,$3000000\
Otto Porter\\porteot01,CHI,27250576,28489239,,,,,Bird Rights,$27250576\
P.J. Tucker\\tuckepj01,HOU,8349039,7969537,,,,,MLE,$16318576\
P.J. Washington\\washipj01,CHO,3831840,4023600,4215120,5808435,,,1st Round Pick,$7855440\
Pascal Siakam\\siakapa01,TOR,2351839,29000000,31320000,33640000,35960000,,1st Round pick,$132271839\
Pat Connaughton\\connapa01,MIL,1723050,,,,,,MLE,$1723050\
Patrick Beverley\\beverpa01,LAC,12345679,13333333,14320988,,,,Bird Rights,$40000000\
Patrick McCaw\\mccawpa01,TOR,4000000,4000000,,,,,MLE,$8000000\
Patty Mills\\millspa02,SAS,12428571,13285714,,,,,Bird Rights,$25714285\
Paul George\\georgpa01,LAC,33005556,35450412,37895268,,,,Maximum Salary,$68455968\
Paul Millsap\\millspa01,DEN,30500000,,,,,,Cap space,$30500000\
Paul Watson\\watsopa01,ATL,50752,,,,,,,$50752\
PJ Dozier\\doziepj01,DEN,183115,,,,,,MLE,$183115\
Quinn Cook\\cookqu01,LAL,3000000,3000000,,,,,Cap Space,$4000000\
Rajon Rondo\\rondora01,LAL,2564753,2619605,,,,,Minimum Salary,$2564753\
Raul Neto\\netora01,PHI,1737145,,,,,,Minimum Salary,$1737145\
Rayjon Tucker\\tuckera01,UTA,578573,1517981,,,,,Minimum Salary,$578574\
Reggie Bullock\\bullore01,NYK,4000000,4200000,,,,,Room Exception,$5000000\
Richaun Holmes\\holmeri01,SAC,4767000,5005350,,,,,Room Exception,$9772350\
Ricky Rubio\\rubiori01,PHO,16190476,17000000,17809524,,,,Cap Space,$51000000\
RJ Barrett\\barrerj01,NYK,7839960,8231760,8623920,10900635,,,1st Round Pick,$16071720\
Robert Covington\\covinro01,HOU,11301219,12138345,12975471,,,,Cap Space,$36415035\
Robert Williams\\williro04,BOS,1937520,2029920,3661976,,,,1st Round Pick,$3967440\
Robin Lopez\\lopezro01,MIL,4767000,5005350,,,,,Room Exception,$4767000\
Rodions Kurucs\\kurucro01,BRK,1699236,1780152,1861068,,,,Cap space,$3479388\
Rodney Hood\\hoodro01,POR,5718000,6003900,,,,,MLE,$5718000\
Rodney McGruder\\mcgruro01,LAC,4629630,5000000,5370370,,,,Cap Space,$15000000\
Romeo Langford\\langfro01,BOS,3458400,3631200,3804360,5634257,,,1st Round Pick,$7089600\
Rondae Hollis-Jefferson\\holliro01,TOR,2500000,,,,,,MLE,$2500000\
Royce O'Neale\\onealro01,UTA,1618520,8035714,8678571,9321429,9964286,,Cap space,$37618520\
Rudy Gay\\gayru01,SAS,14000000,14000000,,,,,Early Bird Rights,$28000000\
Rudy Gobert\\goberru01,UTA,25008427,26525281,,,,,1st Round Pick,$51533708\
Rui Hachimura\\hachiru01,WAS,4469160,4692840,4916160,6263188,,,1st Round Pick,$9162000\
Russell Westbrook\\westbru01,HOU,38178000,41006000,43848000,46662000,,,Bird Rights,$123032000\
Ryan Arcidiacono\\arcidry01,CHI,3000000,3000000,3000000,,,,Cap space,$6000000\
Ryan Broekhoff\\broekry01,DAL,1443842,,,,,,,$1443842\
Sekou Doumbouya\\doumbse01,DET,3285120,3449400,3613680,5539771,,,1st Round Pick,$6734520\
Semi Ojeleye\\ojelese01,BOS,1618520,1752950,,,,,Cap space,$1618520\
Serge Ibaka\\ibakase01,TOR,23271604,,,,,,Cap space,$23271604\
Seth Curry\\curryse01,DAL,7441860,7813953,8186047,8558140,,,MLE,$32000000\
Shabazz Napier\\napiesh01,WAS,1882867,,,,,,Cap Space,$1882867\
Shai Gilgeous-Alexander\\gilgesh01,OKC,3952920,4141320,5495532,,,,1st Round Pick,$8094240\
Shake Milton\\miltosh01,PHI,1445697,1701593,1846738,1997718,,,Cap Space,$4994028\
Shaquille Harrison\\harrish01,CHI,898310,,,,,,Minimum Salary,$898310\
Shaun Livingston\\livinsh01,GSW,666667,666667,666666,,,,,$2666666\
Sheldon Mac\\mcclesh01,CLE,81678,,,,,,,$81678\
Sindarius Thornwell\\thornsi01,NOP,183115,,,,,,Minimum Salary,$183115\
Sir'Dominic Pointer\\pointsi01,CLE,50752,,,,,,,$50752\
Skal Labissiere\\labissk01,ATL,2338847,,,,,,1st Round pick,$2338847\
Solomon Hill\\hillso01,MIA,13258781,,,,,,Cap Space,$13258781\
Spencer Dinwiddie\\dinwisp01,BRK,10600000,11400000,12300000,,,,Minimum Salary,$22000000\
Spencer Hawes\\hawessp01,MIL,2007058,,,,,,,$2007058\
Stanley Johnson\\johnsst04,TOR,3623000,3801000,,,,,Bi-annual Exception,$3623000\
Stanton Kidd\\kiddst01,UTA,250000,,,,,,,$250000\
Stephen Curry\\curryst01,GSW,40231758,43006362,45780966,,,,Bird Rights,$129019086\
Sterling Brown\\brownst02,MIL,1618520,,,,,,MLE,$1618520\
Steven Adams\\adamsst01,OKC,25842697,27528090,,,,,1st Round Pick,$53370787\
Sviatoslav Mykhailiuk\\mykhasv01,DET,1416852,1663861,,,,,Cap Space,$1416852\
T.J. Leaf\\leaftj01,IND,2813280,4326825,,,,,1st Round Pick,$7140105\
T.J. McConnell\\mccontj01,IND,3500000,3500000,,,,,Cap Space,$4500000\
T.J. Warren\\warretj01,IND,10810000,11750000,12690000,,,,1st Round Pick,$35250000\
Taj Gibson\\gibsota01,NYK,9800000,10290000,,,,,Cap Space,$9800000\
Talen Horton-Tucker\\hortota01,LAL,898310,1517981,,,,,Minimum Salary,$2416291\
Taurean Waller-Prince\\princta02,BRK,3481986,13942308,15057692,,,,1st Round pick,$32481986\
Terance Mann\\mannte01,LAC,1000000,1517984,1782621,1930681,,,Minimum Salary,$2517984\
Terence Davis\\daviste02,TOR,898310,1517981,,,,,Minimum Salary,$898310\
Terrance Ferguson\\fergute01,OKC,2475840,3944013,,,,,1st Round Pick,$6419853\
Terrence Ross\\rosste01,ORL,12500000,13500000,12500000,11500000,,,Bird Rights,$50000000\
Terry Rozier\\roziete01,CHO,19894737,18900000,17905263,,,,Sign and Trade,$56700000\
Thabo Sefolosha\\sefolth01,HOU,2564753,,,,,,Minimum Salary,$2564753\
Thaddeus Young\\youngth01,CHI,12900000,13545000,14190000,,,,Cap space,$32445000\
Thanasis Antetokounmpo\\antetth01,MIL,1445697,1701593,,,,,Minimum Salary,$3147290\
Theo Pinson\\pinsoth01,NYK,1445697,1701593,,,,,Minimum Salary,$1445697\
Thomas Bryant\\bryanth01,WAS,7936508,8333333,8730159,,,,Early Bird Rights,$25000000\
Thon Maker\\makerth01,DET,3569643,,,,,,1st Round pick,$3569643\
Tim Frazier\\fraziti01,DET,1882867,,,,,,,$1882867\
Tim Hardaway\\hardati02,DAL,18150000,18975000,,,,,Cap space,$18150000\
Timofey Mozgov\\mozgoti01,ORL,5573333,5573333,5573334,,,,,$16720000\
Tobias Harris\\harrito02,PHI,31034483,33517241,36000000,38482759,40965517,,Bird Rights,$180000000\
Tomas Satoransky\\satorto01,CHI,10000000,10000000,10000000,,,,Sign and Trade,$25000000\
Tony Bradley\\bradlto01,UTA,1962360,3542060,,,,,1st Round Pick,$5504420\
Tony Snell\\snellto01,DET,11392857,12178571,,,,,Cap space,$11392857\
Torrey Craig\\craigto01,DEN,2100000,,,,,,Cap Space,$2100000\
Trae Young\\youngtr01,ATL,6273000,6571800,8326471,,,,1st Round Pick,$12844800\
Treveon Graham\\grahatr01,ATL,1678854,,,,,,Minimum Salary,$1678854\
Trevor Ariza\\arizatr01,POR,12200000,12800000,,,,,Cap Space,$14000000\
Trey Lyles\\lylestr01,SAS,5500000,5500000,,,,,MLE,$5500000\
Tristan Thompson\\thomptr01,CLE,18539130,,,,,,Bird Rights,$18539130\
Troy Brown\\browntr01,WAS,3219480,3372840,5170564,,,,1st Round Pick,$6592320\
Troy Williams\\willitr02,HOU,122741,122741,122741,122741,,,,$490964\
Ty Jerome\\jeromty01,PHO,2193480,2303040,2412840,4220057,,,1st Round Pick,$4496520\
Tyler Herro\\herroty01,MIA,3640200,3822240,4004280,5722116,,,1st Round Pick,$7462440\
Tyler Lydon\\lydonty01,SAC,50000,,,,,,,$50000\
Tyler Ulis\\ulisty01,SAC,50000,,,,,,,$50000}
Tyler Zeller\\zellety01,SAS,245686,2436046,,,,,Minimum Salary,$245686\
Tyson Chandler\\chandty01,HOU,2564753,,,,,,Minimum Salary,$2564753\
Tyus Jones\\jonesty01,MEM,8408000,7965100,7522200,,,,MLE,$23895300\
Udonis Haslem\\hasleud01,MIA,2564753,,,,,,Minimum Salary,$2564753\
Victor Oladipo\\oladivi01,IND,21000000,21000000,,,,,1st Round Pick,$42000000\
Vince Carter\\cartevi01,ATL,2564753,,,,,,Minimum Salary,$2564753\
Vincent Poirier\\poirivi01,BOS,2505793,2619207,,,,,Minimum Salary,$5125000\
Vlatko Cancar\\cancavl01,DEN,1517981,898310,1782621,,,,MLE,$2416291\
Wayne Ellington\\ellinwa01,NYK,7804878,8195122,,,,,Cap Space,$7804878\
Wendell Carter\\cartewe01,CHI,5201400,5448840,6920027,,,,1st Round Pick,$10650240\
Wenyen Gabriel\\gabriwe01,POR,898310,,,,,,Minimum Salary,$898310\
Wesley Iwundu\\iwundwe01,ORL,1618520,,,,,,Cap Space,$1618520\
Wesley Matthews\\matthwe02,MIL,2564753,2692991,,,,,Minimum Salary,$2564753\
Will Barton\\bartowi01,DEN,12960000,13920000,14880000,,,,Bird Rights,$26880000\
William Howard\\howarwi01,UTA,50000,,,,,,,$50000\
Willie Cauley-Stein\\caulewi01,DAL,2177483,2286357,,,,,MLE,$2177483\
Willy Hernangomez\\hernawi01,CHO,1676735,,,,,,Cap Space,$1676735\
Wilson Chandler\\chandwi01,BRK,2564753,,,,,,Minimum Salary,$2564753\
Yante Maten\\matenya01,MIA,100000,,,,,,,$100000\
Yogi Ferrell\\ferreyo01,SAC,3150000,,,,,,Cap Space,$3150000\
Zach Collins\\colliza01,POR,4240200,5406255,,,,,1st Round Pick,$9646455\
Zach LaVine\\lavinza01,CHI,19500000,19500000,19500000,,,,Cap space,$58500000\
Zach Norvell\\norveza01,GSW,50752,,,,,,,$50752\
Zhaire Smith\\smithzh01,PHI,3058800,3204600,4915856,,,,1st Round Pick,$6263400\
Zion Williamson\\willizi01,NOP,9757440,10245480,10733400,13534817,,,1st Round Pick,$20002920\